date.time,height.m,time.stamp
01/01/2017 09:00:00,0.429,01/01/2017 09:00:00
02/01/2017 09:00:00,0.288,02/01/2017 09:00:00
03/01/2017 09:00:00,0.282,03/01/2017 20:30:00
04/01/2017 09:00:00,0.271,04/01/2017 09:15:00
05/01/2017 09:00:00,0.265,05/01/2017 20:45:00
06/01/2017 09:00:00,0.544,06/01/2017 22:15:00
07/01/2017 09:00:00,0.373,07/01/2017 09:00:00
08/01/2017 09:00:00,0.345,09/01/2017 06:00:00
09/01/2017 09:00:00,0.721,09/01/2017 14:30:00
10/01/2017 09:00:00,0.34,10/01/2017 09:15:00
11/01/2017 09:00:00,0.319,11/01/2017 09:15:00
12/01/2017 09:00:00,0.424,12/01/2017 16:00:00
13/01/2017 09:00:00,0.347,13/01/2017 16:45:00
14/01/2017 09:00:00,0.382,14/01/2017 18:15:00
15/01/2017 09:00:00,0.327,15/01/2017 09:00:00
16/01/2017 09:00:00,0.307,16/01/2017 20:15:00
17/01/2017 09:00:00,0.296,17/01/2017 09:15:00
18/01/2017 09:00:00,0.293,18/01/2017 17:00:00
19/01/2017 09:00:00,0.287,19/01/2017 11:45:00
20/01/2017 09:00:00,0.273,20/01/2017 09:15:00
21/01/2017 09:00:00,0.264,21/01/2017 16:00:00
22/01/2017 09:00:00,0.262,22/01/2017 11:45:00
23/01/2017 09:00:00,0.263,23/01/2017 20:45:00
24/01/2017 09:00:00,0.252,24/01/2017 09:00:00
25/01/2017 09:00:00,0.255,25/01/2017 21:30:00
26/01/2017 09:00:00,0.251,26/01/2017 09:15:00
27/01/2017 09:00:00,0.349,28/01/2017 08:00:00
28/01/2017 09:00:00,0.35,28/01/2017 23:00:00
29/01/2017 09:00:00,0.734,29/01/2017 17:15:00
30/01/2017 09:00:00,0.372,31/01/2017 08:45:00
31/01/2017 09:00:00,0.752,31/01/2017 19:45:00
01/02/2017 09:00:00,1.054,02/02/2017 05:30:00
02/02/2017 09:00:00,0.655,02/02/2017 09:00:00
03/02/2017 09:00:00,0.571,03/02/2017 19:45:00
04/02/2017 09:00:00,0.439,04/02/2017 22:15:00
05/02/2017 09:00:00,0.375,05/02/2017 09:00:00
06/02/2017 09:00:00,0.479,07/02/2017 03:15:00
07/02/2017 09:00:00,0.395,07/02/2017 15:30:00
08/02/2017 09:00:00,0.336,08/02/2017 09:00:00
09/02/2017 09:00:00,0.315,09/02/2017 09:00:00
10/02/2017 09:00:00,0.301,10/02/2017 09:00:00
11/02/2017 09:00:00,0.289,11/02/2017 09:15:00
12/02/2017 09:00:00,0.281,12/02/2017 09:00:00
13/02/2017 09:00:00,0.277,13/02/2017 20:30:00
14/02/2017 09:00:00,0.28,14/02/2017 21:00:00
15/02/2017 09:00:00,0.275,15/02/2017 09:00:00
16/02/2017 09:00:00,0.266,16/02/2017 09:00:00
17/02/2017 09:00:00,0.259,17/02/2017 09:15:00
18/02/2017 09:00:00,0.254,18/02/2017 09:30:00
19/02/2017 09:00:00,0.257,19/02/2017 14:15:00
20/02/2017 09:00:00,0.269,21/02/2017 07:45:00
21/02/2017 09:00:00,0.288,22/02/2017 08:45:00
22/02/2017 09:00:00,0.623,23/02/2017 06:45:00
23/02/2017 09:00:00,0.505,23/02/2017 09:00:00
24/02/2017 09:00:00,0.293,24/02/2017 09:00:00
25/02/2017 09:00:00,1.03,25/02/2017 20:45:00
26/02/2017 09:00:00,0.688,27/02/2017 08:45:00
27/02/2017 09:00:00,0.767,27/02/2017 10:15:00
28/02/2017 09:00:00,0.417,28/02/2017 09:00:00
01/03/2017 09:00:00,0.391,01/03/2017 21:45:00
02/03/2017 09:00:00,0.358,03/03/2017 08:45:00
03/03/2017 09:00:00,0.463,03/03/2017 20:15:00
04/03/2017 09:00:00,0.598,05/03/2017 08:30:00
05/03/2017 09:00:00,0.585,05/03/2017 09:00:00
06/03/2017 09:00:00,0.358,06/03/2017 20:45:00
07/03/2017 09:00:00,0.577,08/03/2017 02:00:00
08/03/2017 09:00:00,0.536,08/03/2017 09:45:00
09/03/2017 09:00:00,0.396,09/03/2017 09:00:00
10/03/2017 09:00:00,0.368,10/03/2017 11:45:00
11/03/2017 09:00:00,0.331,11/03/2017 09:00:00
12/03/2017 09:00:00,0.317,12/03/2017 14:15:00
13/03/2017 09:00:00,0.299,13/03/2017 09:15:00
14/03/2017 09:00:00,0.289,14/03/2017 09:00:00
15/03/2017 09:00:00,0.278,15/03/2017 09:00:00
16/03/2017 09:00:00,0.271,16/03/2017 10:15:00
17/03/2017 09:00:00,0.507,18/03/2017 06:30:00
18/03/2017 09:00:00,0.449,18/03/2017 09:00:00
19/03/2017 09:00:00,0.749,20/03/2017 08:45:00
20/03/2017 09:00:00,0.767,20/03/2017 13:15:00
21/03/2017 09:00:00,0.968,22/03/2017 01:45:00
22/03/2017 09:00:00,0.524,22/03/2017 09:00:00
23/03/2017 09:00:00,0.395,23/03/2017 09:00:00
24/03/2017 09:00:00,0.349,24/03/2017 09:15:00
25/03/2017 09:00:00,0.322,25/03/2017 09:00:00
26/03/2017 09:00:00,0.301,26/03/2017 09:15:00
