daily,volume
2021-09-01,82944
2021-09-02,82944
2021-09-03,93312
2021-09-04,0
2021-09-05,103680
2021-09-06,145152
2021-09-07,36288
2021-09-08,134784
2021-09-09,72576
2021-09-10,82944
2021-09-11,51840
2021-09-12,20736
2021-09-13,0
2021-09-14,0
2021-09-15,51840
2021-09-16,57024
2021-09-17,41472
2021-09-18,0
2021-09-19,124416
2021-09-20,134784
2021-09-21,217728
2021-09-22,0
2021-09-23,62208
2021-09-24,51840
2021-09-25,0
2021-09-26,62208
2021-09-27,82944
2021-09-28,0
2021-09-29,0
2021-09-30,15552
2021-10-01,20736
2021-10-02,62208
2021-10-03,62208
2021-10-04,41472
2021-10-05,82944
2021-10-06,72576
2021-10-07,0
2021-10-08,15552
2021-10-09,51840
2021-10-10,0
2021-10-11,72576
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,82944
2021-10-16,0
2021-10-17,124416
2021-10-18,134784
2021-10-19,72576
2021-10-20,0
2021-10-21,72576
2021-10-22,0
2021-10-23,31104
2021-10-24,0
2021-10-25,10368
2021-10-26,0
2021-10-27,0
2021-10-28,124416
2021-10-29,0
2021-10-30,46656
2021-10-31,114048
2021-11-01,
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-06,
2021-11-07,
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-27,
2021-11-28,
2021-11-29,
2021-11-30,
2021-12-01,0
2021-12-02,0
2021-12-03,31104
2021-12-04,145152
2021-12-05,0
2021-12-06,72576
2021-12-07,51840
2021-12-08,0
2021-12-09,36288
2021-12-10,36288
2021-12-11,0
2021-12-12,0
2021-12-13,26957
2021-12-14,31104
2021-12-15,155520
2021-12-16,176256
2021-12-17,93312
2021-12-18,62208
2021-12-19,51840
2021-12-20,15552
2021-12-21,31104
2021-12-22,20736
2021-12-23,82944
2021-12-24,0
2021-12-25,93312
2021-12-26,0
2021-12-27,0
2021-12-28,0
2021-12-29,0
2021-12-30,20736
2021-12-31,47693
2022-01-01,0
2022-01-02,88128
2022-01-03,0
2022-01-04,103680
2022-01-05,82944
2022-01-06,41472
2022-01-07,0
2022-01-08,0
2022-01-09,82944
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,88128
2022-01-14,82944
2022-01-15,31104
2022-01-16,20736
2022-01-17,0
2022-01-18,0
2022-01-19,20736
2022-01-20,77760
2022-01-21,15552
2022-01-22,0
2022-01-23,62208
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,93312
2022-01-29,119232
2022-01-30,31104
2022-01-31,93312
2022-02-01,88128
2022-02-02,0
2022-02-03,67392
2022-02-04,41472
2022-02-05,62208
2022-02-06,0
2022-02-07,0
2022-02-08,93312
2022-02-09,0
2022-02-10,62208
2022-02-11,0
2022-02-12,31104
2022-02-13,207360
2022-02-14,0
2022-02-15,145152
2022-02-16,41472
2022-02-17,15552
2022-02-18,41472
2022-02-19,0
2022-02-20,0
2022-02-21,0
2022-02-22,82944
2022-02-23,51840
2022-02-24,0
2022-02-25,57024
2022-02-26,103680
2022-02-27,0
2022-02-28,82944
