date,bacti_level,ID,location,species
2009-09-02,330,B037U,Swansea Queen Dock,Mytilus
2009-09-16,20,B037U,Swansea Queen Dock,Mytilus
2009-10-05,130,B037U,Swansea Queen Dock,Mytilus
2009-11-19,940,B037U,Swansea Queen Dock,Mytilus
2009-12-02,330,B037U,Swansea Queen Dock,Mytilus
2010-01-14,40,B037U,Swansea Queen Dock,Mytilus
2010-02-15,<20,B037U,Swansea Queen Dock,Mytilus
2010-03-29,<20,B037U,Swansea Queen Dock,Mytilus
2010-04-21,<20,B037U,Swansea Queen Dock,Mytilus
2010-07-22,1300,B037U,Swansea Queen Dock,Mytilus
2010-08-09,50,B037U,Swansea Queen Dock,Mytilus
2010-09-20,<20,B037U,Swansea Queen Dock,Mytilus
2010-10-14,110,B037U,Swansea Queen Dock,Mytilus
2010-12-06,170,B037U,Swansea Queen Dock,Mytilus
2011-01-04,50,B037U,Swansea Queen Dock,Mytilus
2011-02-14,20,B037U,Swansea Queen Dock,Mytilus
2011-03-08,110,B037U,Swansea Queen Dock,Mytilus
2011-04-14,<20,B037U,Swansea Queen Dock,Mytilus
2011-05-03,<20,B037U,Swansea Queen Dock,Mytilus
2011-05-26,20,B037U,Swansea Queen Dock,Mytilus
2011-06-22,<20,B037U,Swansea Queen Dock,Mytilus
2011-07-06,20,B037U,Swansea Queen Dock,Mytilus
2011-07-21,40,B037U,Swansea Queen Dock,Mytilus
2011-08-15,<20,B037U,Swansea Queen Dock,Mytilus
2011-09-06,460,B037U,Swansea Queen Dock,Mytilus
2011-09-14,130,B037U,Swansea Queen Dock,Mytilus
2011-11-01,1700,B037U,Swansea Queen Dock,Mytilus
2011-12-06,70,B037U,Swansea Queen Dock,Mytilus
2012-01-18,<20,B037U,Swansea Queen Dock,Mytilus
2012-02-23,170,B037U,Swansea Queen Dock,Mytilus
2012-03-23,220,B037U,Swansea Queen Dock,Mytilus
2012-04-23,<20,B037U,Swansea Queen Dock,Mytilus
2012-05-22,20,B037U,Swansea Queen Dock,Mytilus
2012-06-20,50,B037U,Swansea Queen Dock,Mytilus
2012-07-18,5400,B037U,Swansea Queen Dock,Mytilus
2012-08-06,260,B037U,Swansea Queen Dock,Mytilus
2012-09-03,80,B037U,Swansea Queen Dock,Mytilus
2012-10-24,80,B037U,Swansea Queen Dock,Mytilus
2012-11-12,2200,B037U,Swansea Queen Dock,Mytilus
2012-12-10,330,B037U,Swansea Queen Dock,Mytilus
2013-01-07,130,B037U,Swansea Queen Dock,Mytilus
2013-02-11,490,B037U,Swansea Queen Dock,Mytilus
2013-03-11,20,B037U,Swansea Queen Dock,Mytilus
2013-04-03,50,B037U,Swansea Queen Dock,Mytilus
2013-05-07,2400,B037U,Swansea Queen Dock,Mytilus
2013-06-12,330,B037U,Swansea Queen Dock,Mytilus
2013-07-10,90,B037U,Swansea Queen Dock,Mytilus
2013-08-06,1300,B037U,Swansea Queen Dock,Mytilus
2013-09-02,<20,B037U,Swansea Queen Dock,Mytilus
2013-09-30,330,B037U,Swansea Queen Dock,Mytilus
2013-11-11,490,B037U,Swansea Queen Dock,Mytilus
2013-12-09,1400,B037U,Swansea Queen Dock,Mytilus
2014-01-08,330,B037U,Swansea Queen Dock,Mytilus
2014-02-04,170,B037U,Swansea Queen Dock,Mytilus
2014-03-04,170,B037U,Swansea Queen Dock,Mytilus
2014-04-02,70,B037U,Swansea Queen Dock,Mytilus
2014-04-30,330,B037U,Swansea Queen Dock,Mytilus
2014-05-28,490,B037U,Swansea Queen Dock,Mytilus
2014-06-25,9200,B037U,Swansea Queen Dock,Mytilus
2014-07-22,110,B037U,Swansea Queen Dock,Mytilus
2014-08-20,3500,B037U,Swansea Queen Dock,Mytilus
2014-09-17,<18,B037U,Swansea Queen Dock,Mytilus
2014-10-15,130,B037U,Swansea Queen Dock,Mytilus
2014-11-17,170,B037U,Swansea Queen Dock,Mytilus
2014-12-09,490,B037U,Swansea Queen Dock,Mytilus
2015-01-05,790,B037U,Swansea Queen Dock,Mytilus
2015-02-03,330,B037U,Swansea Queen Dock,Mytilus
2015-03-04,68,B037U,Swansea Queen Dock,Mytilus
2015-04-22,78,B037U,Swansea Queen Dock,Mytilus
2015-05-20,330,B037U,Swansea Queen Dock,Mytilus
2015-06-23,<18,B037U,Swansea Queen Dock,Mytilus
2015-07-22,170,B037U,Swansea Queen Dock,Mytilus
2015-08-18,490,B037U,Swansea Queen Dock,Mytilus
2015-09-15,45,B037U,Swansea Queen Dock,Mytilus
2015-10-13,230,B037U,Swansea Queen Dock,Mytilus
2015-11-11,330,B037U,Swansea Queen Dock,Mytilus
2015-12-14,78,B037U,Swansea Queen Dock,Mytilus
2016-01-19,68,B037U,Swansea Queen Dock,Mytilus
2016-02-16,20,B037U,Swansea Queen Dock,Mytilus
2016-03-15,45,B037U,Swansea Queen Dock,Mytilus
2016-04-12,690,B037U,Swansea Queen Dock,Mytilus
2016-05-11,690,B037U,Swansea Queen Dock,Mytilus
2016-06-08,78,B037U,Swansea Queen Dock,Mytilus
2016-07-12,78,B037U,Swansea Queen Dock,Mytilus
2016-08-09,110,B037U,Swansea Queen Dock,Mytilus
2016-09-06,1300,B037U,Swansea Queen Dock,Mytilus
2016-10-11,<18,B037U,Swansea Queen Dock,Mytilus
2016-11-08,230,B037U,Swansea Queen Dock,Mytilus
2016-12-12,3300,B037U,Swansea Queen Dock,Mytilus
2017-01-17,110,B037U,Swansea Queen Dock,Mytilus
2017-02-15,93,B037U,Swansea Queen Dock,Mytilus
2017-03-20,220,B037U,Swansea Queen Dock,Mytilus
2017-04-18,1700,B037U,Swansea Queen Dock,Mytilus
2017-05-15,2200,B037U,Swansea Queen Dock,Mytilus
2017-06-13,230,B037U,Swansea Queen Dock,Mytilus
2017-07-10,330,B037U,Swansea Queen Dock,Mytilus
2017-08-15,110,B037U,Swansea Queen Dock,Mytilus
2017-09-12,45,B037U,Swansea Queen Dock,Mytilus
2017-10-03,490,B037U,Swansea Queen Dock,Mytilus
2018-02-05,20,B037U,Swansea Queen Dock,Mytilus
2018-06-20,78,B037U,Swansea Queen Dock,Mytilus
2018-07-11,1300,B037U,Swansea Queen Dock,Mytilus
2018-08-01,230,B037U,Swansea Queen Dock,Mytilus
2018-09-04,20,B037U,Swansea Queen Dock,Mytilus
2018-10-10,220,B037U,Swansea Queen Dock,Mytilus
2018-11-07,490,B037U,Swansea Queen Dock,Mytilus
2018-12-05,220,B037U,Swansea Queen Dock,Mytilus
2019-01-02,780,B037U,Swansea Queen Dock,Mytilus
2019-01-29,1700,B037U,Swansea Queen Dock,Mytilus
2019-03-05,690,B037U,Swansea Queen Dock,Mytilus
2019-03-26,40,B037U,Swansea Queen Dock,Mytilus
2019-04-23,18,B037U,Swansea Queen Dock,Mytilus
2019-06-10,78,B037U,Swansea Queen Dock,Mytilus
2019-07-01,<18,B037U,Swansea Queen Dock,Mytilus
2019-08-05,170,B037U,Swansea Queen Dock,Mytilus
2019-09-02,54000,B037U,Swansea Queen Dock,Mytilus
2019-09-30,690,B037U,Swansea Queen Dock,Mytilus
2019-10-30,110,B037U,Swansea Queen Dock,Mytilus
2019-11-25,20,B037U,Swansea Queen Dock,Mytilus
2019-12-16,330,B037U,Swansea Queen Dock,Mytilus
2020-02-25,45,B037U,Swansea Queen Dock,Mytilus
2020-05-13,<18,B037U,Swansea Queen Dock,Mytilus
2020-05-27,110,B037U,Swansea Queen Dock,Mytilus
2020-06-10,330,B037U,Swansea Queen Dock,Mytilus
2020-07-08,20,B037U,Swansea Queen Dock,Mytilus
2020-08-04,45,B037U,Swansea Queen Dock,Mytilus
2020-09-02,490,B037U,Swansea Queen Dock,Mytilus
2020-10-14,35000,B037U,Swansea Queen Dock,Mytilus
2020-10-21,1300,B037U,Swansea Queen Dock,Mytilus
2020-11-10,1300,B037U,Swansea Queen Dock,Mytilus
2020-11-17,1300,B037U,Swansea Queen Dock,Mytilus
2020-12-09,690,B037U,Swansea Queen Dock,Mytilus
2021-01-12,230,B037U,Swansea Queen Dock,Mytilus
2021-02-10,130,B037U,Swansea Queen Dock,Mytilus
2021-03-09,<18,B037U,Swansea Queen Dock,Mytilus
2021-04-06,330,B037U,Swansea Queen Dock,Mytilus
2021-05-11,20,B037U,Swansea Queen Dock,Mytilus
2021-06-09,78,B037U,Swansea Queen Dock,Mytilus
2021-07-12,230,B037U,Swansea Queen Dock,Mytilus
2021-08-10,45,B037U,Swansea Queen Dock,Mytilus
2021-09-06,330,B037U,Swansea Queen Dock,Mytilus
2021-10-12,92000,B037U,Swansea Queen Dock,Mytilus
2021-11-16,330,B037U,Swansea Queen Dock,Mytilus
2021-12-13,2100,B037U,Swansea Queen Dock,Mytilus
2022-01-11,92000,B037U,Swansea Queen Dock,Mytilus
2022-03-02,220,B037U,Swansea Queen Dock,Mytilus
2022-04-11,20,B037U,Swansea Queen Dock,Mytilus
2022-05-09,<18,B037U,Swansea Queen Dock,Mytilus
2022-06-08,54000,B037U,Swansea Queen Dock,Mytilus
2022-07-05,2300,B037U,Swansea Queen Dock,Mytilus
2022-08-09,3300,B037U,Swansea Queen Dock,Mytilus
1992-04-21,40,B038L,Swansea Whitford Point,Mytilus
1992-04-28,20,B038L,Swansea Whitford Point,Mytilus
1992-05-05,220,B038L,Swansea Whitford Point,Mytilus
1992-05-12,20,B038L,Swansea Whitford Point,Mytilus
1992-06-23,<20,B038L,Swansea Whitford Point,Mytilus
1992-06-30,500,B038L,Swansea Whitford Point,Mytilus
1992-07-21,220,B038L,Swansea Whitford Point,Mytilus
1992-08-24,750,B038L,Swansea Whitford Point,Mytilus
1992-09-08,750,B038L,Swansea Whitford Point,Mytilus
1992-09-15,750,B038L,Swansea Whitford Point,Mytilus
1992-10-13,220,B038L,Swansea Whitford Point,Mytilus
1992-10-20,<20,B038L,Swansea Whitford Point,Mytilus
1992-11-10,500,B038L,Swansea Whitford Point,Mytilus
1992-11-24,160,B038L,Swansea Whitford Point,Mytilus
1992-12-08,750,B038L,Swansea Whitford Point,Mytilus
1993-01-12,310,B038L,Swansea Whitford Point,Mytilus
1993-01-26,3500,B038L,Swansea Whitford Point,Mytilus
1993-02-09,750,B038L,Swansea Whitford Point,Mytilus
1993-02-23,200,B038L,Swansea Whitford Point,Mytilus
1993-03-23,70,B038L,Swansea Whitford Point,Mytilus
1993-03-30,<20,B038L,Swansea Whitford Point,Mytilus
1993-05-18,40,B038L,Swansea Whitford Point,Mytilus
1993-07-06,40,B038L,Swansea Whitford Point,Mytilus
1993-08-17,2200,B038L,Swansea Whitford Point,Mytilus
1993-10-05,7000,B038L,Swansea Whitford Point,Mytilus
1993-11-30,70,B038L,Swansea Whitford Point,Mytilus
1994-01-11,500,B038L,Swansea Whitford Point,Mytilus
1994-03-01,310,B038L,Swansea Whitford Point,Mytilus
1994-04-12,1400,B038L,Swansea Whitford Point,Mytilus
1994-06-07,20,B038L,Swansea Whitford Point,Mytilus
1994-07-12,3500,B038L,Swansea Whitford Point,Mytilus
1994-08-23,70,B038L,Swansea Whitford Point,Mytilus
1994-09-27,40,B038L,Swansea Whitford Point,Mytilus
1994-11-22,220,B038L,Swansea Whitford Point,Mytilus
1995-01-17,200,B038L,Swansea Whitford Point,Mytilus
1995-03-07,310,B038L,Swansea Whitford Point,Mytilus
1995-06-27,40,B038L,Swansea Whitford Point,Mytilus
1995-07-25,40,B038L,Swansea Whitford Point,Mytilus
1995-11-21,20,B038L,Swansea Whitford Point,Mytilus
1996-01-23,140,B038L,Swansea Whitford Point,Mytilus
1996-03-19,<20,B038L,Swansea Whitford Point,Mytilus
1996-05-14,<20,B038L,Swansea Whitford Point,Mytilus
1996-07-30,1300,B038L,Swansea Whitford Point,Mytilus
1996-09-24,<20,B038L,Swansea Whitford Point,Mytilus
1996-11-26,250,B038L,Swansea Whitford Point,Mytilus
1997-01-14,70,B038L,Swansea Whitford Point,Mytilus
1997-03-25,40,B038L,Swansea Whitford Point,Mytilus
1997-05-13,50,B038L,Swansea Whitford Point,Mytilus
1997-08-05,310,B038L,Swansea Whitford Point,Mytilus
1997-10-07,<20,B038L,Swansea Whitford Point,Mytilus
1997-12-16,70,B038L,Swansea Whitford Point,Mytilus
1998-02-17,20,B038L,Swansea Whitford Point,Mytilus
1998-06-23,310,B038L,Swansea Whitford Point,Mytilus
1998-08-11,950,B038L,Swansea Whitford Point,Mytilus
1998-10-06,220,B038L,Swansea Whitford Point,Mytilus
1998-12-01,40,B038L,Swansea Whitford Point,Mytilus
1999-02-16,20,B038L,Swansea Whitford Point,Mytilus
1999-05-11,110,B038L,Swansea Whitford Point,Mytilus
1999-07-28,1700,B038L,Swansea Whitford Point,Mytilus
1999-09-21,1300,B038L,Swansea Whitford Point,Mytilus
1999-11-23,200,B038L,Swansea Whitford Point,Mytilus
2000-01-18,40,B038L,Swansea Whitford Point,Mytilus
2000-03-14,20,B038L,Swansea Whitford Point,Mytilus
2000-06-28,<20,B038L,Swansea Whitford Point,Mytilus
2000-07-25,40,B038L,Swansea Whitford Point,Mytilus
2000-08-08,220,B038L,Swansea Whitford Point,Mytilus
2000-09-28,1700,B038L,Swansea Whitford Point,Mytilus
2000-10-24,220,B038L,Swansea Whitford Point,Mytilus
2000-11-21,500,B038L,Swansea Whitford Point,Mytilus
2000-12-12,750,B038L,Swansea Whitford Point,Mytilus
2001-01-23,<20,B038L,Swansea Whitford Point,Mytilus
2001-02-20,50,B038L,Swansea Whitford Point,Mytilus
2001-07-16,20,B038L,Swansea Whitford Point,Mytilus
2001-08-14,40,B038L,Swansea Whitford Point,Mytilus
2001-09-11,70,B038L,Swansea Whitford Point,Mytilus
2001-10-17,500,B038L,Swansea Whitford Point,Mytilus
2001-12-03,400,B038L,Swansea Whitford Point,Mytilus
2002-01-02,20,B038L,Swansea Whitford Point,Mytilus
2002-02-18,<20,B038L,Swansea Whitford Point,Mytilus
2002-03-18,40,B038L,Swansea Whitford Point,Mytilus
2002-04-15,40,B038L,Swansea Whitford Point,Mytilus
2002-05-21,90,B038L,Swansea Whitford Point,Mytilus
2002-06-17,110,B038L,Swansea Whitford Point,Mytilus
2002-07-15,750,B038L,Swansea Whitford Point,Mytilus
2002-08-12,430,B038L,Swansea Whitford Point,Mytilus
2002-10-28,70,B038L,Swansea Whitford Point,Mytilus
2002-11-25,160,B038L,Swansea Whitford Point,Mytilus
2002-12-09,20,B038L,Swansea Whitford Point,Mytilus
2003-01-07,110,B038L,Swansea Whitford Point,Mytilus
2003-02-04,500,B038L,Swansea Whitford Point,Mytilus
2003-03-11,220,B038L,Swansea Whitford Point,Mytilus
2003-04-08,20,B038L,Swansea Whitford Point,Mytilus
