date.time,rain.mm
01/01/2017 09:00:00,0.4
02/01/2017 09:00:00,0
03/01/2017 09:00:00,0.2
04/01/2017 09:00:00,0
05/01/2017 09:00:00,0
06/01/2017 09:00:00,15.6
07/01/2017 09:00:00,0.8
08/01/2017 09:00:00,4.4
09/01/2017 09:00:00,10
10/01/2017 09:00:00,0.6
11/01/2017 09:00:00,0.6
12/01/2017 09:00:00,11.8
13/01/2017 09:00:00,0.8
14/01/2017 09:00:00,5.2
15/01/2017 09:00:00,0
16/01/2017 09:00:00,0.2
17/01/2017 09:00:00,0.4
18/01/2017 09:00:00,0
19/01/2017 09:00:00,0
20/01/2017 09:00:00,0
21/01/2017 09:00:00,0.2
22/01/2017 09:00:00,0
23/01/2017 09:00:00,0.2
24/01/2017 09:00:00,0.2
25/01/2017 09:00:00,0
26/01/2017 09:00:00,0
27/01/2017 09:00:00,7.8
28/01/2017 09:00:00,6.8
29/01/2017 09:00:00,12.6
30/01/2017 09:00:00,7.8
31/01/2017 09:00:00,17.4
01/02/2017 09:00:00,23.8
02/02/2017 09:00:00,8.2
03/02/2017 09:00:00,11.6
04/02/2017 09:00:00,4.4
05/02/2017 09:00:00,0
06/02/2017 09:00:00,8.8
07/02/2017 09:00:00,1.2
08/02/2017 09:00:00,0.2
09/02/2017 09:00:00,0.2
10/02/2017 09:00:00,0
11/02/2017 09:00:00,0.2
12/02/2017 09:00:00,0
13/02/2017 09:00:00,0
14/02/2017 09:00:00,1.6
15/02/2017 09:00:00,1.6
16/02/2017 09:00:00,0.4
17/02/2017 09:00:00,0
18/02/2017 09:00:00,0
19/02/2017 09:00:00,0.8
20/02/2017 09:00:00,3.4
21/02/2017 09:00:00,2.8
22/02/2017 09:00:00,12.6
23/02/2017 09:00:00,0.4
24/02/2017 09:00:00,2.2
25/02/2017 09:00:00,40.2
26/02/2017 09:00:00,19.6
27/02/2017 09:00:00,8.4
28/02/2017 09:00:00,2.4
01/03/2017 09:00:00,4
02/03/2017 09:00:00,9.4
03/03/2017 09:00:00,7.6
